show_id,type,title,director,country,release_year,rating,duration,listed_in,date_added,duration_value,duration_unit
s1,Movie,The Great Adventure,A. Sharma,India,2020,PG-13,120 min,Adventure,2020-05-10,120.0,min
s2,TV Show,City Stories,R. Mehta,India,2021,TV-14,2 Seasons,Drama,2021-06-15,2.0,Seasons
s3,Movie,Hidden Truth,Unknown,USA,2019,PG,105 min,Documentary,2019-08-20,105.0,min
s4,Movie,Ocean Wonders,K. Singh,UK,2022,R,98 min,Action,2022-03-12,98.0,min
s5,TV Show,Campus Life,P. Verma,India,2020,TV-PG,3 Seasons,Comedy,2020-09-01,3.0,Seasons
s6,Movie,The Last Journey,A. Khan,Unknown,2018,PG-13,130 min,Drama,,130.0,min
s7,TV Show,Tech World,Unknown,USA,2023,TV-14,1 Season,Technology,2023-01-20,1.0,Season
s8,Movie,Family Time,S. Gupta,India,2019,PG,110 min,Family,2019-11-05,110.0,min
s9,Movie,Mystery House,R. Mehta,UK,2021,Unknown,95 min,Mystery,2021-07-18,95.0,min
s10,TV Show,World Kitchen,Unknown,France,2022,TV-MA,2 Seasons,Food & Travel,2022-10-02,2.0,Seasons
s11,Movie,Future Earth,K. Singh,USA,2023,PG-13,145 min,Documentary,2023-04-25,145.0,min
s12,TV Show,Music Nights,P. Verma,India,2020,TV-PG,4 Seasons,Music,2020-12-10,4.0,Seasons
